# Supporting Mapping: History Rows And Pipeline Shapes
# Purpose: List token-bearing history rows together with recipe/line-role pipeline settings for review.
# Warning: This file is not a pure leak list; many rows are intentional codexfarm runs and therefore have is_leak=False.
# Use Case: Trace which rows are intentional full-stack usage versus hybrid or recipe-only usage before drawing conclusions.
run_timestamp,tokens_total,llm_recipe_pipeline,line_role_pipeline,file_name,is_leak,run_dir,run_config_hash
2026-03-03_12.12.49,19688398,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_12.12.49/single-offline-benchmark/seaandsmokecutdown/codexfarm,46ebb046
2026-03-02_23.33.49,19052717,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-02_23.33.49/single-offline-benchmark/seaandsmokecutdown/codexfarm,86a68cc4
2026-03-03T19:45:23,15837703,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_19.41.28_seaandsmoke-next-buckets,3679282b
2026-03-03_01.24.28,15249983,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_01.24.28/single-offline-benchmark/seaandsmokecutdown/codexfarm,44931c1e
2026-03-04T08:47:45,14591498,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/RoastChickenAndOtherStoriesCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_08.18.05/single-offline-benchmark/roastchickenandotherstoriescutdown/codexfarm,2af75c5a
2026-03-03T14:40:35,13915013,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_14.34.08/single-offline-benchmark/seaandsmokecutdown/codexfarm,01ae25df
2026-03-02_23.15.01,13665192,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-02_23.15.01/single-offline-benchmark/seaandsmokecutdown/codexfarm,4be5f947
2026-03-03T15:18:12,8947549,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_15.07.45/single-offline-benchmark/seaandsmokecutdown/codexfarm_medium,61cac1cc
2026-03-03T13:40:45,6337926,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_13.37.54/single-offline-benchmark/seaandsmokecutdown/codexfarm,63563bfe
2026-03-03T20:22:27,6321934,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.13.14/single-offline-benchmark/seaandsmokecutdown/codexfarm,644a5ea1
